Name;Count;Area
cre+_virPR_MAX_34738 9.czi (RGB).tif;44;36592
cre+_virPR_MAX_33815 4.czi (RGB).tif;22;13766
cre-_virGA_MAX_33658 3.czi (RGB).tif;0;0
cre+_virGA_MAX_35861 3.czi (RGB).tif;74;72376
cre-_virPR_MAX_33658 4.czi (RGB).tif;0;0
cre+_virGA_MAX_34738 4.czi (RGB).tif;16;10617
cre-_virGA_MAX_33815 3.czi (RGB).tif;5;3161
cre+_virGA_MAX_34738 3.czi (RGB).tif;31;29463
cre-_virPR_MAX_33815 5.czi (RGB).tif;48;349434
cre+_virGA_MAX_33658 2.czi (RGB).tif;52;40984
cre+_virGA_MAX_33658 1.czi (RGB).tif;27;19619
cre-_virPR_MAX_33658 5.czi (RGB).tif;0;0
cre+_virPR_MAX_33815 6.czi (RGB).tif;45;39618
cre-_virGA_MAX_34738 1.czi (RGB).tif;0;0
cre+_virPR_MAX_34738 8.czi (RGB).tif;57;49061
cre+_virPR_MAX_35861 5.czi (RGB).tif;53;41591
cre-_virGA_MAX_33815 3 40x HA555 GA488 cortex ns.czi (RGB).tif;5;2954
cre-_virGA_MAX_33658 3 40x HA555 GA488 cortex ns.czi (RGB).tif;0;0
cre+_virPR_MAX_35861 5 hippo.czi (RGB).tif;73;134801
cre+_virGA_MAX_35861 3 hippo.czi (RGB).tif;58;131486
cre+_virPR_MAX_33815 6 hippo.czi (RGB).tif;82;170620
cre-_virGA_MAX_33815 3 hippo.czi (RGB).tif;0;0
cre+_virPR_MAX_33815 4 hippo.czi (RGB).tif;54;140286
cre+_virGA_MAX_34738 3 hippo.czi (RGB).tif;49;128737
cre-_virGA_MAX_34738 1 hippo.czi (RGB).tif;3;1420
cre-_virPR_MAX_33658 4 hippo.czi (RGB).tif;3;1298
cre+_virGA_MAX_33658 2 hippo.czi (RGB).tif;75;95570
cre+_virPR_MAX_34738 8 hippo.czi (RGB).tif;60;117586
cre-_virPR_MAX_33658 5 hippo.czi (RGB).tif;5;4159
cre-_virGA_MAX_33658 3 hippo.czi (RGB).tif;7;4448
cre+_virGA_MAX_33658 1 hippo.czi (RGB).tif;60;126926
cre+_virGA_MAX_34738 4 40x HA555 GA488 cortex ns.czi (RGB).tif;64;70518
cre+_virPR_MAX_33815 4 40x HA555 GA488 cortex ns.czi (RGB).tif;51;49527
cre+_virGA_MAX_35861 3 40x HA555 GA488 cortex ns.czi (RGB).tif;67;77705
cre-_virGA_MAX_33815 3 40x HA555 GA488 cortex ns.czi (RGB).tif;5;2954
cre+_virGA_MAX_33658 1 40x HA555 GA488 cortex ns.czi (RGB).tif;49;74008
cre-_virPR_MAX_33658 4 40x HA555 GA488 cortex ns.czi (RGB).tif;0;0
cre+_virPR_MAX_33815 6 40x HA555 GA488 cortex ns.czi (RGB).tif;47;75648
cre+_virGA_MAX_34738 3 40x HA555 GA488 cortex ns.czi (RGB).tif;50;58583
cre-_virPR_MAX_33658 5 40x HA555 GA488 cortex ns.czi (RGB).tif;0;0
cre+_virGA_MAX_33658 2 40x HA555 GA488 cortex ns.czi (RGB).tif;43;41558
cre-_virGA_MAX_33658 3 40x HA555 GA488 cortex ns.czi (RGB).tif;0;0
cre+_virPR_MAX_34738 9 40x HA555 GA488 cortex ns.czi (RGB).tif;38;35518
cre+_virPR_MAX_34738 8 40x HA555 GA488 cortex ns.czi (RGB).tif;63;59421
cre-_virGA_MAX_34738 1 40x HA555 GA488 cortex ns.czi (RGB).tif;0;0
cre-_virPR_MAX_33815 5 40x HA555 GA488 cortex ns.czi (RGB).tif;1;739
